marca,nome_cor,preco_painel,url_imagem
berneck,Italian Noce,315,https://www.berneck.com.br/uploads/italian_noce_poro_c04d351180.jpg
berneck,Linen Grigio,315,https://www.berneck.com.br/uploads/linen_grigio_vel_aa73b4e884.jpg
berneck,Louro Freijó,315,https://www.berneck.com.br/uploads/louro_freijo_grann_6cdce7a2c6.jpg
berneck,Louro Preto,315,https://www.berneck.com.br/uploads/louro_preto_grann_1fd4bd779e.jpg
berneck,Metallic Suede,315,https://www.berneck.com.br/uploads/metallic_suede_tx_89ed7dbab7.jpg
berneck,Millennial,315,https://www.berneck.com.br/uploads/millennial_micro_dd79ae0b70.jpg
berneck,Mostrato,315,https://www.berneck.com.br/uploads/mostrato_micro_af2b1770b7.jpg
berneck,Nero,315,https://www.berneck.com.br/uploads/nero_ee4755f5de.jpg
berneck,Nogal Málaga,315,https://www.berneck.com.br/uploads/nogal_malaga_design_d089f52c3f.jpg
berneck,Nogal Sevilha,315,https://www.berneck.com.br/uploads/nogal_sevilha_poro_37774531c5.jpg
berneck,Nude,315,https://www.berneck.com.br/uploads/nude_vel_096d83cbc2.jpg
berneck,Peroba,315,https://www.berneck.com.br/uploads/peroba_tatto_57b25f1510.jpg
berneck,Preto Tx,315,https://www.berneck.com.br/uploads/preto_tx_739df20ff6.jpg
berneck,Provence,315,https://www.berneck.com.br/uploads/provence_tatto_9e4de8b768.jpg
berneck,Ruggine,315,https://www.berneck.com.br/uploads/ruggine_tx_80654f7679.jpg
berneck,Sky,315,https://www.berneck.com.br/uploads/sky_vel_ee19d4368d.jpg
berneck,Solanum,315,https://www.berneck.com.br/uploads/solanum_grann_6b1721945e.jpg
berneck,Verti,315,https://www.berneck.com.br/uploads/verti_micro_94ac943f83.jpg
berneck,Volakas,315,https://www.berneck.com.br/uploads/volakas_micro_981718bf17.jpg
berneck,Roble Catedral,315,https://www.berneck.com.br/uploads/roble_catedral_grann_d97ef5e3d6.jpg
berneck,Lana,315,https://www.berneck.com.br/uploads/lana_vel_bc0f2d76dc.jpg
berneck,Basalto,315,https://www.berneck.com.br/uploads/basalto_rust_0eab6abe04.jpg
berneck,Ópera,315,https://www.berneck.com.br/uploads/opera_micro_54a3e8c7be.jpg
berneck,Carvalho Japandi,315,https://www.berneck.com.br/uploads/carvalho_japandi_5706b23338.jpg
berneck,Ceramik,315,https://www.berneck.com.br/uploads/ceramik_micro_novo_a51141549e.jpg
berneck,Branco Micro,315,https://www.berneck.com.br/uploads/super_white_site_0055b9b92b.jpg
berneck,Taupe,315,https://www.berneck.com.br/uploads/TAUPE_f13dc119a5.jpg
berneck,Baru,315,https://www.berneck.com.br/uploads/BARU_fb464549c2.jpg
berneck,Nogal Artezzano,315,https://www.berneck.com.br/uploads/NOGAL_ARTEZZANO_f32eee6559.jpg
berneck,Super White,315,https://www.berneck.com.br/uploads/BRANCO_TX_008ae07471.jpg
berneck,Crômio | Linha Smart,315,https://www.berneck.com.br/uploads/BERNECK_CROMIO_VEL_ALTA_9bab90464c.jpg
berneck,Desert | Linha Smart,315,https://www.berneck.com.br/uploads/BERNECK_DESERT_VEL_ALTA_f8379f647d.jpg
berneck,Pecan | Linha Smart,315,https://www.berneck.com.br/uploads/BERNECK_PECAN_VEL_ALTA_8296cd6ed2.jpg
berneck,Gelo | Linha Smart,315,https://www.berneck.com.br/uploads/BERNECK_GELO_VEL_ALTA_afb5aec14f.jpg
berneck,Gold | Coleção Horizontes,315,https://www.berneck.com.br/uploads/Gold_Colecao_Horizontes_Berneck_d1edf2dd2f.jpg
berneck,Dust | Coleção Horizontes,315,https://www.berneck.com.br/uploads/BERNECK_DUST_ALUMI_096fe6bd9f.jpg
berneck,Plomo | Coleção Horizontes,315,https://www.berneck.com.br/uploads/BERNECK_PLOMO_ALUMI_b809cb057e.jpg
berneck,Latte | Coleção Horizontes,315,https://www.berneck.com.br/uploads/Padrao_BNK_LATTE_MICRO_2386561bc2.jpg
berneck,Parquet | Coleção Horizontes,315,https://www.berneck.com.br/uploads/BERNECK_PARQUET_GRANN_9fb862183c.jpg
berneck,Tabasco | Coleção Horizontes,315,https://www.berneck.com.br/uploads/Padrao_BNK_TABASCO_MICRO_0a571bd776.jpg
berneck,Veneer | Coleção Horizontes,315,https://www.berneck.com.br/uploads/Padrao_BNK_VENEER_GRANN_1b0179d515.jpg
berneck,Tangará | Coleção Horizontes,315,https://www.berneck.com.br/uploads/Padrao_BNK_TANGARA_MICRO_3414d90ba8.jpg
berneck,Falésia | Coleção Horizontes,315,https://www.berneck.com.br/uploads/BERNECK_FALESIA_VEL_8e453289a4.jpg
berneck,Branco Tx,315,https://www.berneck.com.br/uploads/branco_tx_background_3_652f495da2.jpg
